capability_id	class_role_content_state	donor_commit_symbols	tortoise_impl_registration_activation	target_data_requirements	disposition	reason	dependencies	packet	scenarios	evidence	limitations	source_present	registered	selected	contract_tested	client_accepted
M-DK-NOTAPPLICABLE	Death Knight class (modern donor 10th dir)	M: src/Ai/Class/Dk/ (DKAiObjectContext, Blood/Frost/Unholy) @5397110c	Not present (CMake DEATHKNIGHT denylist)	No Turtle DK data	exclude	Expansion-only; no Vanilla/Turtle DK	semantic-scope	C-WAR..C-WLK (unaffected)	—	EVIDENCE.md M0 (ModernDonorCensus)	Donor dir exists, excluded by design	no	yes n/a	no	no	no
M-AH-NO-DONOR	Modern AH post/cancel actions	M: NO AhAction/PostAuction/src-ahbot @5397110c (verified absent; only LootAction::AuctionItem + ITEM_USAGE_AH + InitAfterAhBot hooks)	T: actions/AhAction.cpp (AhBidAction present)	CORE auction/item/mail contracts	adapt	Modern has no AH donor; Shyalya SAH is the supplier/buyer donor, modern only consumer routing	F10	F10	P10	EVIDENCE.md M0 (ModernDonorCensus)	No modern AH source to port	yes n/a	n/a	no	no	no
M-PRICE-NO-HELPER	Modern median/lowest price helper	M: none (searched Median|LowestPrice — only SellPrice>0 + BuyPrice*multiplier + ahbot_category query)	T: values/ItemUsageValue.cpp median/lowest/resale helpers + empty mirror	F09 native read model	adapt	No modern donor helper; price knowledge comes from Shyalya mirror semantics via native CORE GetAuctions	F09	F09	P09	EVIDENCE.md M0 (ModernDonorCensus)	Donor helper absent	no	n/a	n/a	no	no
M-LLM-ABSENT	Working LLM generator	M: none (PlayerbotTextMgr templates only) @5397110c; T Generate empty; S Generate empty	Non-LLM chat required	—	exclude	No functioning donor generator; external gen never gameplay dependency	F23	F23	—	EVIDENCE.md M0 (ModernDonorCensus)	Disabled both sides	no	n/a	n/a	no	no
M-CLASSES-10DIRS	Modern per-class strategy dirs	M: src/Ai/Class/{Warrior,Warlock,Shaman,Rogue,Priest,Paladin,Mage,Hunter,Druid,Dk}/ @5397110c (contexts+Triggers+Actions+Strategy/*)	T: ai/playerbot/strategy/{warrior,...,rogue}/ + AiFactory 9-class switch	Turtle spell/talent data	adapt	DK excluded; 9 Vanilla dirs map to C-WAR..C-WLK packets	M2/M3	C-* (all nine)	—	EVIDENCE.md M0 (ModernDonorCensus)	Per-class port scope	yes	yes	yes no (activation per-class pending)	no	no
M-COMMANDS	Modern playerbots root command table	M: Script/PlayerbotCommandScript.cpp (playerbots> bot|gtask|rndbot|pmon|debug|account) @5397110c	T: BotCommands + BotCommandContext + .bot shell	Map semantics not spelling	F16	F16	P19	EVIDENCE.md M0 (ModernDonorCensus)	Needs capability ledger	yes	yes	yes	no	no
M-MGRS	Modern Travel/Item/Guild/Level managers	M: Mgr/Travel, Mgr/Item/{RandomItemMgr,StatsCollector,StatsWeightCalculator,BisListMgr}, Mgr/Guild/{PlayerbotGuildMgr,GuildTaskMgr}, Bot/RandomBotLevelMgr @5397110c	T: TravelMgr/Node, RandomItemMgr, PlayerbotFactory, RandomBotService	F05/F07/F11/F13/F22	adapt	Port applicable logic/data, never manager/socket/thread wholesale	—	F05/F07/F11/F13/F22	—	EVIDENCE.md M0 (ModernDonorCensus)	Scoped per packet	yes partial	n/a	no	no
M-BG-LFG	Dungeon/Raid/BG/LFG contexts	M: Ai/Dungeon (+Wotlk/Tbc), Ai/Raid (BWL..ZA), BattlegroundStrategy + per-map tactics, LfgStrategy/Actions/Triggers/Values @5397110c	T: DungeonStrategy, MC/BWL/Onyxia/Naxx, BG strategies	F14/F15/F24	adapt	Port only Turtle-applicable mechanics; TBC/WotLK mechanics excluded by data	M6	M8/F14/F15/F24	P17/P18/P24	EVIDENCE.md M0 (ModernDonorCensus)	Encounter-by-encounter	yes partial	n/a	no	no
S-AVOID-CREATURE	Avoid-creature list (action+value+wiring)	S: actions/AvoidCreatureListAction.h/.cpp + values/AvoidCreatureListValue.h + CreatureIdValue.h/.cpp; wired ChatActionContext 'avoid creature', ValueContext list/id, StrategyContext 'avoid specific creatures', ChatCommandHandler 'avoid creature', consumed DungeonActions.cpp:228/DungeonTriggers.cpp:311 @49d183a	No T action/value files (filename census)	Legal movement action	implement	Add equivalent via existing movement; distinct from navmesh cost filters	F04	F04	P06	EVIDENCE.md M0 (ShyalyaDonorCensus)	Absent in T	yes in S	yes in S	n/a	no	no
S-DUNGEON-CLEAR-EXCLUDE	Autonomous dungeon guide/clear system	S: modules/mod-dungeon-clear/** (DungeonClearModule, DcStrategyGate, DungeonClearCommand .dc on/off/skip/pause/pull/status/bosses/go/config/spectate, Routes/*.cpp, routes/*.route, conf, addon/DungeonClear-1.12) @49d183a	Must NOT exist in T (no CMake/registry/command/addon refs)	—	exclude	Explicit product exclusion (plan §10); retain generic DungeonStrategy + human-led tactics	—	—	P24	EVIDENCE.md M0 (ShyalyaDonorCensus)	Excluded by design	no no	n/a	n/a	no	no
S-DUNGEON-FAMILY	Dungeon strategies MC/BWL/Onyxia/Naxx (+TBC Kara excluded)	S: generic/{DungeonStrategy,OnyxiasLair,MoltenCore,BlackwingLair,Naxxramas} + boss-fight strategies; NO AQ/ZG @49d183a	T: DungeonStrategy + MC/BWL/Onyxia/Naxx files (starting points)	Turtle map/spell/GO IDs	adapt	Port only Turtle-applicable; Kara-TBC excluded; AQ/ZG absent both sides	F24	F24	P24	EVIDENCE.md M0 (ShyalyaDonorCensus)	Encounter-by-encounter	yes partial	yes partial	n/a	no	no
S-PRICE-3PART	Price mirror (3 mechanisms)	S: (1) SAH AhBot::Price/Varied/Publish + MarketPolicy; (2) CORE AuctionSnapshot + GetAuctionsSnapshot(Page) + Guard; (3) RandomPlayerbotMgr::MirrorAh + ahMirror @49d183a	T: empty mirror (clear-only)	CORE GetAuctions (Penqle simple map; S Guard API differs)	implement	Bounded scoped native read model; never retain live pointers; 3 rows not 1	F09	F09	P09	EVIDENCE.md M0 (ShyalyaDonorCensus)	All 3 need mapping	yes in S	yes in S	n/a	no	no
S-AHBOT-SUPPLY	Full AH supplier/buyer + operator controls	SAH: AhBot.cpp + MarketPolicy.h + ahbot.conf.dist.in (AuctionHouseBot.* settings; old category/count no longer apply) @49d183a	T: AhMarketService (sells existing inventory only)	Ownership/funding/stock policy; native transactions	implement	Required even default-off; synthetic supply needs explicit policy; existing seller slice insufficient	F10	F10	P11-P13	EVIDENCE.md M0 (ShyalyaDonorCensus)	Full market missing	yes in S	n/a	n/a	no	no
S-RANDOM-LIFECYCLE	Random population create/init/progress	S: RandomPlayerbotFactory (CreateRandomBot/Guilds/Names/races) + RandomPlayerbotMgr (Randomize/RandomizeFirst/Refresh/Teleport/Login/Logout/values/gear) @49d183a	T: RandomBotService (bounded discovery/create/login/pins)	Level/class/race/kit/spawn policy	implement	Explicit first-init/progression lifecycle; synthetic vs earned semantics	F11	F11	P08	EVIDENCE.md M0 (ShyalyaDonorCensus)	Lifecycle gaps	yes in S	n/a	n/a	no	no
S-HOLDER-COMMANDS	Holder + bot command tables	S: PlayerbotMgr.cpp:348-406 (12 holder + 42 bot keys → 33 handlers; self/always/spoof/prepare/gear/train/pet/levelup/random/debug/do/record) @49d183a	T: owned shell + .bot command delegation	Map to capability ledger (F16)	—	implement	Every applicable command gets documented equivalent; secure equivalents allowed	F16	F16	P19	EVIDENCE.md M0 (ShyalyaDonorCensus)	Needs row-by-row map	yes in S	yes in T partial	n/a	no	no
S-SELF-ALWAYS	Self-bot + always-online alts	S: HandleSelf + login hook; HandleBotAlways + ToggleAlwaysOnlineAccounts/Chars + RpgTriggers free-alt check @49d183a	T: settings/helpers shape only	Generic control seam if self-bot pursued	implement	Separate free-alt/always/self specs; Headless ownership unchanged; blocked-not-silent if no seam	F18	F18	P21	EVIDENCE.md M0 (ShyalyaDonorCensus)	Applicability packet	yes in S	n/a	n/a	no	no
S-LFG-BG	LFG queue + BG limit policy	S: LfgActions/Strategy/Triggers/Values + WorldPacket contexts; BGJoin/FreeBGJoin/Leave/Status + CountRunningBattlegrounds/BotBattlegroundLimitReached + RpgQueueBgAction @49d183a	T: LftBotFillService + BattlegroundQueueService (demand-driven)	Native LFT/BG queue ownership	adapt	Demand fill retained; autonomous policy separate; role = usable kit	F14/F15	F14/F15	P17/P18	EVIDENCE.md M0 (ShyalyaDonorCensus)	Policy mapping	yes in S	yes in T partial	n/a	no	no
S-GUILD	Guild create/manage/orders	S: GuildCreateActions + GuildManagementActions + GuildValues (GuildOrder Farm/Kill/Explore/Craft/AuctionHouse/QuestReward) + GuildStrategy @49d183a	T: group/guild actions + config (owned shell stricter)	Native guild ranks/permissions	implement	Recruitment/group/guild lifecycle + order completion semantics	F13	F13	P15/P16	EVIDENCE.md M0 (ShyalyaDonorCensus)	Policy + impl	yes in S	yes in T partial	n/a	no	no
S-WORLDBUFF-TRAVEL	WorldBuff travel steps	S: WorldBuffTravelActions + WorldBuffTravelStrategy (STORMWIND..DONE steps) + NeedWorldBuffTrigger + WorldBuffTravelValues @49d183a	T: WorldBuffAction + travel actions registered; wbuff-travel strategy excluded; config loader inert	F20/F23 (config enum fix first)	implement	Distinguish real travel vs synthetic buff; event/spell/race/class/level checks	F23	F23	P22	EVIDENCE.md M0 (ShyalyaDonorCensus)	Loader gap blocks	yes in S	yes in T partial	n/a	no	no
S-TAXI-ROUTE	UseTaxi + route corrections	S: MovementActions UseTaxi + nextTeleport gating + retain-leg + cutTo + PathFinder fallback @49d183a	T: Movement/Go/Mount/travel actions	Native taxi/transport rules	adapt	Compare target native transport/collection rules; rejected-leg + funding rollback	F05	F05	P05	EVIDENCE.md M0 (ShyalyaDonorCensus)	Needs comparison	yes in S	yes in T partial	n/a	no	no
S-COUPLING-EVIDENCE	Host coupling points (DO NOT PORT)	S: HostHooks.cpp + World.cpp:2540 InitPlayerbotsAtStartup + ~Player Playerbot_OnPlayerDestroyed @49d183a	T: generic Headless seams only (≤5 host files)	—	exclude	Evidence only; T modularity wins; generic-core proposals only after tracing public APIs	—	—	—	EVIDENCE.md M0 (ShyalyaDonorCensus)	Never port	n/a	n/a	n/a	no	no
T-GRAPH-SCALE	Registered graph scale (Tortoise)	T: StrategyContext ~111 generic strategies; ActionContext ~250 actions; TriggerContext ~225 triggers; ValueContext ~270 values; ~17 multipliers; AiFactory 9-class switch; .bot ~20 verbs (if/else dispatch, no creators table)	—	implement	M0 inventory; runtime graph dump is activation proof (M1/M2)	M0	M0/M1/M2	—	EVIDENCE.md M0 (TortoiseGraphCensus)	Counts are registration, not activation	yes	yes	yes no (activation pending)	no	no
T-CLASS-CTX	Per-class contexts (9 Vanilla)	T: strategy/{warrior,priest,mage,hunter,rogue,druid,shaman,paladin,warlock}/*AiObjectContext.cpp (spec x pve/pvp/raid + class + situation lists); DK dir EMPTY, no factory case → base fallback	—	implement	Each C-* packet enumerates actual action set; no tree falls back silently	M2/M3	C-* (all nine)	—	EVIDENCE.md M0 (TortoiseGraphCensus)	DK fallback gap	yes	yes	yes no (per-class activation pending)	no	no
T-CAST-OVERLOADS	Cast overload actual lines (correction)	T: PlayerbotAI CanCast 3802/3807/4013/4140; Cast 4266/4277/4532/4672; CastPetSpell 4824 (plan tildes stale)	CORE Spell.cpp:3506-3581 prep contract	implement	Coordinate-cast overload ignores prep result (confirmed inconsistency); audit all overloads in M3	M0	M3	A05	EVIDENCE.md M0 (TortoiseGraphCensus)	Outcome-contract fix pending	yes	yes	yes	no	no
T-AVOID-ABSENT	Avoid-creature + avoid-area gap	T: no AvoidCreatureList files; SetAvoidAreaAction.cpp:10-21 fail-closed; AvoidMobsStrategy registered but inert (AiFactory ~865 declines)	S wiring donor (see S-AVOID-CREATURE)	Legal movement action	implement	Add equivalent in F04	F04	F04	P06	EVIDENCE.md M0 (TortoiseGraphCensus)	Absent	yes (stub)	yes (stub)	no	no	no
T-RPG-SPELLCLICK	RPG spell-click gap	T: RpgSpellAction + GO-cast path exist (CastCustomSpellAction.cpp:589-592); no SpellClick handler	S: RpgStrategy retains rpg spell click	Native creature spell/gossip support	implement	Determine actual Turtle interaction support first	F04	F04	—	EVIDENCE.md M0 (TortoiseGraphCensus)	Handler absent	yes partial	yes partial	no	no	no
T-FISH-GEN	Fish-location generation unavailable	T: TravelMgr.cpp:2115-2124 logs error (no pinned PathInfo area query) + generators force-off	—	implement	Supported offline/bounded native generation (F22); direct native fishing unaffected	F08/F22	F08	P07	EVIDENCE.md M0 (TortoiseGraphCensus)	Autonomous fishing travel uncertified	yes	yes	no	no	no
T-SERVICES	Bounded default-off services	T: RandomBotService + LftBotFillService (fail-closed) + AhMarketService (bounded batch) + BattlegroundQueueService (core owns queue) + PlayerbotRuntimeFacade	—	implement	Validate each after owned-party acceptance; demand vs autonomous policies explicit	M5	M9	A16/P25	EVIDENCE.md M0 (TortoiseGraphCensus)	Slices, not parity	yes	yes	yes	no	no
T-SAVEAI-WHISPER	save/load ai whisper-only	T: ChatActionContext.h:142-148 + ChatTriggerContext 64-69 + ChatCommandHandlerStrategy 57-62; NOT in .bot shell	S/M preset interfaces	—	implement	Expose/document/validate inherited path first (F17); no duplicate persistence	F17	F17	P20	EVIDENCE.md M0 (ConfigDataCommandCensus)	No .bot surface	yes	yes	yes	no	no
T-SQL-SCHEMA	Effective SQL schema	T: world 11 tables + zone_level; char 8 tables + tortoise_bots_owned_character (20260902090000); cleanups drop rpg_races / random_bots+tele_cache+rarity_cache	—	implement	Effective schema after migrations; empty tables unaccepted; owned data preserved	F22	F22	P23	EVIDENCE.md M0 (ConfigDataCommandCensus)	Needs per-dataset producer/consumer rows	yes	yes	n/a	no	no
T-ADDON-TBM	Addon TBM: protocol scope	TortoiseBotsManager: 4 tabs (Actions/Roster/Party/Log), 13 intents, TBM:ROSTER*/ACTION_*/CC_ASSIGN_* + legacy fallback; warband = legacy ref only	W strategy/spell/item views (later)	None (client Lua)	implement	Map server capabilities to controls after command contracts (F21); no DungeonClear panels	F21	F21	—	EVIDENCE.md M0 (ConfigDataCommandCensus)	Server-first	yes	yes	n/a	no	no
M1-TRAIL	Decision-trail telemetry (M1)	No donor import; module-owned logging on existing Engine/PlayerbotAI paths	T: strategy/Engine.cpp (TICK state+strats, T/PUSH/A src+base/eff, MULT factors) + PlayerbotAI.cpp (CAST_START/PREPARE*/CAST_GATE on 3 cast overloads) + tools/check_decision_trail.py	None	implement	M1 code + self-tested checker; production-log validation + disabled-cost measurement pending server run	M1	M1	—	EVIDENCE.md M1	No EFFECT-phase signal exists module-side	yes	yes	no	no	no
M1-NO-EFFECT-SIGNAL	Module-visible cast completion signal	None found: BotActionLog_LogCastResult/LogCastStart free hooks have no callers; core owns spell effects; packet bridge has no completion hook	Requires generic core completion/failure proposal (deferred, evidence-backed)	—	implement	Do NOT add bot-specific core hook; determine existing packet/lifecycle coverage first (M1 finding)	M3/M10	M1	—	EVIDENCE.md M1	Blocked on core API survey, not silently dropped	no no	n/a	no	no
M2-DUALHOOK-NODUP	Dual-hook complementary coexistence (M2 verdict)	S: legacy-only push (donor Engine.cpp:~970); M: n/a	T: Strategy.h:57-59 no-op defaults + transition comment; CombatStrategy.h:17-18 + NonCombatStrategy.h blockers; Strategy.cpp:117-203 clean dispatch; Engine.cpp:130-147 dual feed	None	implement VERDICT: no per-strategy dual-form duplication exists (53 generic files legacy-only, 9 class dirs single-form-or-placeholder). No hook retired. Plan retire-step NOT APPLICABLE with proof	M1/M2	M2	—	EVIDENCE.md M2	Runtime graph dump still pending as activation proof	yes	yes	yes no (activation)	no	no
M2-TIE-FIRSTMAX	Deterministic tie semantics	Donor identical: Queue::Pop strict-> first max wins	T: strategy/Queue.cpp:35-61	None	implement	Documented: first-inserted basket wins equal relevance; changed-target equal-relevance case keeps OLDER basket (queue identity is name-only). No change	M2	M2	—	EVIDENCE.md M2	Equal-relevance target-swap behavior specified, runtime proof pending	yes	yes	yes	no	no
M2-MINIMAL-BREAK	Minimal-tick low-relevance defer	Donor: continue (re-peeks same basket to budget exhaustion); T: break, queue intact + log line	T: Engine.cpp:180-188	None	implement	Deliberate Tortoise fix (bounded vs busy-loop); preserved, not ported back	M2	M2	—	EVIDENCE.md M2	Needs runtime observation	yes	yes	yes	no	no
M2-LIFECYCLE-PARITY	Trigger/queue/reaction lifecycle parity	Donor-identical: latch/cadence/Check, RemoveExpired rule + default 5000, PushAgain +0.02/+0.01/+0.03, ReactionEngine body, UpdateAI gating	T: Trigger.h/Trigger.cpp/Queue.cpp/ReactionEngine.*/PlayerbotAI.cpp:614-656,738-751,2034-2063	None	implement	No defect found; no behavior change. Donor failure-retry/generation machinery + testMode absent in T — out of scope unless a runtime case proves need	M2	M2	—	EVIDENCE.md M2	Required-case runtime proof pending server	yes	yes	yes	no	no
M3-TALENT-INFER	Spec inference + talent preservation (M3 audit)	S: identical inference/druid/role logic (no owned-guard, no rebuild tail)	T: AiFactory.cpp largest-tree-wins + pre-10 defaults; Talentspec.cpp highestTree; ChangeTalentsAction owned-guard; rebuild = InvalidateStrategySnapshots + ResetStrategies (forced role last)	Turtle talent DBC	implement	No inference defect found. GAPS: (1) RacialsStrategy classic-only — no Goblin/High Elf racial triggers; (2) secondary bear/cat sites use Primal-Fury/coin-flip without forced role	F07	C-DRU + C-*	P20	P08	EVIDENCE.md M3	Runtime proof pending	yes	yes	yes	no	no
M3-RANK-PARITY	SpellId rank-pick parity (M3 audit)	S: functionally identical (pet-field/API noise only); VehicleSpellIdValue donor-only (MANGOSBOT_TWO, intentional)	T: strategy/values/SpellIdValue.cpp:100-190	None	implement	No rank-pick defect. Mana-save numeric branch is real-but-bounded risk, default-unreachable (default 1.0); chain data in spell_chain SQL, Rank labels need DBC extraction	F07	M3	—	EVIDENCE.md M3	No code change; quantify with data join later	yes	yes	yes	no	no
M3-USEFUL-STAGE	isUseful permissive vs early rejection (M3 decision)	S: +HasSpell/vehicle gates atop CastSpellAction::isUseful; T defers to isPossible/CanCastSpell	T: strategy/actions/GenericSpellActions.cpp:149-171	None	implement	DECISION: keep permissive stage — fallback chains (holy-shock→holy-light, regrowth→healing-touch, repentance→shield→light) depend on fall-through; same winner under both, different gate. Revisit only if trail shows pointless reach work	M3	M3	A04	EVIDENCE.md M3	Needs runtime reach-waste evidence	yes	yes	yes	no	no
M3-SPELLDATA-TTL	Spell-data staleness bound (M3 audit)	—	T: ChatHelper::spellIds static (DBC-static, benign); spell-id value 5s TTL + context Reset; CastSpellAction::spellId member no-TTL	Candidate targeted resets	implement	DECISION: no code change — worst case ~5s stale rank, self-healing; qualified-value reset needs qualifier enumeration (risk w/o compile). Trail makes it measurable post-learn	M3	M3	—	EVIDENCE.md M3	Measurable via CAST_START IDs	yes	yes	yes	no	no
M3-SHIM-D1	Unique-equip gear filter (shim fix)	Native ItemPrototype.h:92 ITEM_FLAG_UNIQUE_EQUIPPED=0x80000	T: cmangos-compat-shim.h:552 (0→0x80000); callers PlayerbotFactory.cpp:2083,2224	None	implement	Filter was dead (flags&0); now skips owned uniques. No illegal state possible either way (core blocks double-equip)	F07	M3	—	EVIDENCE.md M3	Needs runtime gearing observation	yes	yes	yes	no	no
M3-SHIM-D3	Invisible-creature travel filter (shim fix)	Native Creature.h:59 (0x80) vs :70 (0x40000)	T: cmangos-compat-shim.h:479 (0x40000→0x80); caller TravelValues.cpp:76	None	implement	Travel no longer routes to invisible triggers nor skips friendly-only vendors	F05	M3	P05	EVIDENCE.md M3	Needs runtime travel observation	yes	yes	yes	no	no
M3-SHIM-D4	Skill unlearn gate bit (shim fix)	Native DBCEnums.h:121-122 (0x20 unlearnable, 0x10 always-max)	T: cmangos-compat-shim.h:572 (0x10→0x20); caller SkillAction.cpp:75	Profession DBC flags	implement	Profession unlearns no longer refused; non-unlearnable no longer offered	F08	M3	—	EVIDENCE.md M3	Needs runtime unlearn test	yes	yes	yes	no	no
M3-SHIM-D5	Channeling-state collision (shim fix)	Native Spell.h:209-213 (no channeling; FINISHED=3)	T: cmangos-compat-shim.h:566 (3→CASTING alias); caller SpellCastUsefulValue.cpp:40 now redundant-disjunct	None	implement	Removes spurious FINISHED match; real channeling still via CASTING	M3	M3	—	EVIDENCE.md M3	Needs runtime cast observation	yes	yes	yes	no	no
M3-SHIM-D2D	TARGET_FLAG_LOCKED bit (deferred)	Native DBCEnums.h: 0x100=UNIT_UNK vs 0x4000=UNK1-lock; shim keeps donor 0x100	T: cmangos-compat-shim.h:675-677; caller UseItemAction.cpp:584-592	Spell DBC Targets masks	implement	DEFERRED: two-sided effect, mitigated by OpenLockCheck path; needs DBC Targets-mask evidence before change. Not silently closed	F08	M3	—	EVIDENCE.md M3	Blocked on data	yes	yes	yes	no	no
M3-COORD-FIX	Coordinate-cast outcome contract	Native Spell::prepare contract (Spell.cpp:3506-3581)	T: PlayerbotAI.cpp coordinate overload now returns false on rejection; callers fall through	None	implement	Rejected ground casts no longer recorded as accepted; fixes A04-class phantom-cast	Future A04	M3	A04	EVIDENCE.md M3	Needs runtime ground-cast test	yes	yes	yes	no	no
